End Date,Source,Lat,Lon,Title,Location,Plan,Details,Date Reported,Link,Ongoing Public Health Situation,State Regulations,Testing Availibility/Turnaround,Transmission on College,Student Health/Safety,Other,Reversal Count,ZIP,FIPS,Classes Start Date,Days until Shift,Cases on Flip,Clusters on Flip,,,,
11/18/2020,[Source](http://hd.ingham.org/About/ArticlesPublications/tabid/3378/ctl/ArticleView/mid/4286/articleId/9152/COVID-19-surge-prompts-self-quarantine-recommendation-for-all-local-MSU-students.aspx),42.73212,-84.476111,Michigan State University,"East Lansing, MI",Recommended all-campus quarantine,Until September 26,9/12/2020,http://hd.ingham.org/About/ArticlesPublications/tabid/3378/ctl/ArticleView/mid/4286/articleId/9152/COVID-19-surge-prompts-self-quarantine-recommendation-for-all-local-MSU-students.aspx,,,,,,,2,,,,,,,,,,
11/15/2020,[Source](https://www.sjcme.edu/prepared/containing-covid-19/),43.826314,-70.483373,Saint Joseph's College of Maine,"Standish, ME",Suspended in-person instruction,2 week campus quarantine,9/12/2020,https://www.sjcme.edu/prepared/containing-covid-19/,,,,,,,2,,,,,,,,,,
11/18/2020,[Source](https://www.niu.edu/protecting-the-pack/communication/messaging/9-11-20-undergraduate-courses-in-person-activities.html),41.933869,-88.766428,Northern Illinois University,"DeKalb, IL",Suspended in-person instruction,2 week campus quarantine,9/11/2020,https://www.niu.edu/protecting-the-pack/communication/messaging/9-11-20-undergraduate-courses-in-person-activities.html,,,,Yes,,,1,,,,,,,,,,
11/9/2020,[Source](https://www.tompkinscortland.edu/college-info/fall-2020-reopening-plans),42.502006,-76.287586,Tompkins Cortland Community College,"Dryden, NY",Resumed in-person instruction,,9/11/2020,https://www.tompkinscortland.edu/college-info/fall-2020-reopening-plans,,,,,,,3,,,,,,,,,,
11/13/2020,[Source](https://www.president.umd.edu/articles/resuming-limited-person-undergraduate-instruction),38.988178,-76.944721,University of Maryland-College Park,"College Park, MD",Resumed in-person instruction,Sept. 14,9/11/2020,https://www.president.umd.edu/articles/resuming-limited-person-undergraduate-instruction,,,,,,,3,,,,,,,,,,
11/18/2020,[Source](https://www.scranton.edu/royals-safe-together/pausing-instruction.shtml),41.406556,-75.656915,University of Scranton,"Scranton, PA",Suspended in-person instruction,2 week campus quarantine,9/11/2020,https://www.scranton.edu/royals-safe-together/pausing-instruction.shtml,,,,Yes,,,1,,,,,,,,,,
11/18/2020,[Source](https://occ.edu/about/covid-response),37.103172,-94.510622,Ozark Christian College,"Joplin, MO",Suspended in-person instruction,1 week campus quarantine,9/9/2020,https://occ.edu/about/covid-response,,,,Yes,,,1,,,,,,,,,,
9/23/2020,[Source](https://news.wisc.edu/university-shifts-to-two-weeks-remote-instruction/),43.075409,-89.404098,University of Wisconsin-Madison,"Madison, WI",Suspended in-person instruction,2 week campus quarantine,9/9/2020,https://news.wisc.edu/university-shifts-to-two-weeks-remote-instruction/,,,,Yes,,,2,,,,,,,,,,
9/14/2020,[Source](http://www.uwyo.edu/uw/news/2020/09/uw-extends-fall-return-pause-until-monday.html),41.311773,-105.57931,University of Wyoming,"Laramie, WY",Delayed in-person start,5 days,9/9/2020,http://www.uwyo.edu/uw/news/2020/09/uw-extends-fall-return-pause-until-monday.html,,,,,,,4,,,,,,,,,,
11/18/2020,[Source](https://www.bradley.edu/sites/coronavirus/student-quarantine/),40.696896,-89.616786,Bradley University,"Peoria, IL",Suspended in-person instruction,2 week campus quarantine,9/8/2020,https://www.bradley.edu/sites/coronavirus/student-quarantine/,,,,Yes,,,1,,,,,,,,,,
